,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,days_birth,days_employed,work_phone,home_phone,email,occup_type,family_size,begin_month,credit,CODE
0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,13899,4709,0,0,0,No job,2.0,6,1.0,F-13899202500.0Commercial associate
1,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,11380,1540,0,0,1,Laborers,3.0,5,1.0,F-11380247500.0Commercial associate
2,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,19087,4434,0,1,0,Managers,2.0,22,2.0,M-19087450000.0Working
3,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15088,2092,0,1,0,Sales staff,2.0,37,0.0,F-15088202500.0Commercial associate
4,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,15037,2105,0,0,0,Managers,2.0,26,2.0,F-15037157500.0State servant
5,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,13413,4996,0,0,1,High skill tech staff,4.0,18,1.0,F-13413270000.0Working
6,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,17570,1978,0,0,1,Core staff,1.0,41,2.0,F-17570315000.0Working
7,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14896,5420,0,0,1,Drivers,2.0,53,0.0,M-14896270000.0Commercial associate
8,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,15131,1466,0,0,1,No job,3.0,38,2.0,M-15131180000.0Commercial associate
9,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,15785,1308,0,0,0,Medicine staff,2.0,5,2.0,F-15785103500.0Working
10,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,19063,2213,1,1,1,Laborers,1.0,40,2.0,F-19063193500.0Working
11,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,11759,91,0,0,0,Managers,3.0,51,2.0,M-11759135000.0Commercial associate
12,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11938,2162,0,0,0,Accountants,3.0,60,0.0,F-11938157500.0Commercial associate
13,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,9887,2474,0,1,0,Sales staff,2.0,41,2.0,F-9887135000.0Working
14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22922,0,0,1,0,No job,1.0,41,2.0,F-22922157500.0Pensioner
15,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,Drivers,4.0,60,0.0,M-12859157500.0Working
16,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,19408,4553,0,1,0,Laborers,2.0,2,1.0,M-19408180000.0Working
17,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,8853,984,0,0,1,Sales staff,2.0,14,2.0,M-8853270000.0Commercial associate
18,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23113,0,0,0,0,No job,2.0,37,2.0,F-23113216000.0Pensioner
19,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,13727,6031,0,0,0,No job,2.0,7,2.0,F-13727180000.0Working
20,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,19850,1753,0,1,0,No job,2.0,35,2.0,M-19850180000.0Working
21,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21253,0,0,1,0,No job,2.0,7,2.0,F-21253157500.0Pensioner
22,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,15198,1357,0,0,0,Laborers,2.0,22,0.0,F-15198157500.0Commercial associate
23,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,14542,444,1,1,1,No job,2.0,18,2.0,M-14542225000.0Working
24,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22361,0,0,1,0,No job,1.0,5,2.0,F-22361202500.0Pensioner
25,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14058,3694,0,0,0,Realty agents,3.0,4,2.0,F-14058225000.0Commercial associate
26,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,17843,3353,1,0,0,Laborers,3.0,13,2.0,M-17843135000.0Working
27,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,17309,3500,0,0,0,No job,2.0,57,2.0,M-17309405000.0State servant
28,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,22111,2325,1,1,0,Drivers,2.0,47,2.0,M-22111112500.0Commercial associate
29,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,12017,1711,0,1,0,Sales staff,2.0,22,0.0,F-12017121500.0Commercial associate
30,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13188,227,0,0,0,Managers,2.0,33,2.0,M-13188225000.0Commercial associate
31,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,11762,3452,1,0,1,Laborers,2.0,18,0.0,M-11762135000.0Commercial associate
32,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,13299,1628,0,0,0,Laborers,2.0,2,0.0,F-13299135000.0Working
33,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,19200,346,0,1,0,High skill tech staff,2.0,30,2.0,M-19200202500.0Working
34,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,14488,1630,0,1,0,Laborers,3.0,22,0.0,M-14488270000.0Working
35,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,14438,2433,0,0,0,Managers,2.0,20,2.0,F-14438225000.0Working
36,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,20200,1022,1,1,0,Accountants,1.0,14,2.0,F-20200225000.0Working
37,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,16653,1646,0,0,0,Drivers,2.0,8,2.0,M-16653585000.0Commercial associate
38,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,13582,3472,0,0,0,Sales staff,2.0,41,2.0,F-13582202500.0Working
39,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,13022,1600,0,0,0,Laborers,4.0,39,2.0,M-13022112500.0Working
40,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,21700,2426,0,0,0,Laborers,2.0,21,1.0,M-2170090900.0Working
41,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,12752,433,0,1,0,Accountants,4.0,19,2.0,F-1275299000.0Commercial associate
42,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,9943,554,1,0,0,Managers,3.0,35,0.0,M-9943270000.0Working
43,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,9963,1876,0,0,0,Sales staff,2.0,8,1.0,F-996367500.0Working
44,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,15125,199,0,0,0,Drivers,2.0,26,2.0,M-15125247500.0Working
45,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,18655,3200,1,1,0,High skill tech staff,2.0,4,0.0,M-18655405000.0Working
46,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21100,0,0,1,0,No job,1.0,24,2.0,F-21100135000.0Pensioner
47,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,18409,3482,0,0,0,Sales staff,2.0,48,2.0,F-18409292500.0Commercial associate
48,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23585,0,0,0,0,No job,2.0,4,2.0,F-2358599000.0Pensioner
49,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18858,2010,0,1,0,No job,2.0,12,2.0,F-18858585000.0Commercial associate
50,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,13951,1101,1,0,0,Sales staff,3.0,4,2.0,F-1395190000.0Working
51,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,8917,1101,0,0,1,Drivers,2.0,10,2.0,M-8917495000.0Working
52,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,24044,0,0,1,0,No job,2.0,37,2.0,F-2404454000.0Pensioner
53,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,13541,3965,0,0,0,Core staff,4.0,42,2.0,F-13541306000.0State servant
54,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,15626,422,0,0,0,No job,3.0,2,1.0,F-1562699000.0Working
55,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,13856,3010,0,0,0,Laborers,2.0,24,2.0,F-13856180000.0Working
56,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,16137,9391,0,1,0,Laborers,2.0,29,2.0,F-16137130500.0Working
57,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,17031,642,0,0,0,Core staff,1.0,3,1.0,F-17031225000.0Commercial associate
58,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23334,0,0,0,0,No job,2.0,23,2.0,F-23334144000.0Pensioner
59,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,22985,0,0,1,0,No job,2.0,25,2.0,F-22985360000.0Pensioner
60,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,21397,0,0,0,0,No job,1.0,1,1.0,M-21397112500.0Pensioner
61,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,11373,1371,0,0,0,Managers,3.0,15,2.0,M-11373270000.0Commercial associate
62,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,17402,3153,0,1,0,Core staff,2.0,40,1.0,F-17402225000.0Working
63,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,15586,3337,0,0,0,Managers,2.0,21,2.0,M-15586315000.0Working
64,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,9047,716,0,0,0,Security staff,1.0,32,2.0,M-904767500.0Commercial associate
65,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,12729,4936,1,0,0,Cleaning staff,2.0,10,2.0,F-1272940500.0Working
66,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,13761,2783,0,0,0,Laborers,3.0,4,1.0,M-13761144000.0Working
67,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,12135,1216,0,0,0,High skill tech staff,4.0,2,1.0,F-12135157500.0Commercial associate
68,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,10309,1610,0,0,0,Laborers,2.0,14,1.0,F-10309180000.0Working
69,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,15462,2969,0,0,1,Medicine staff,2.0,59,2.0,F-15462157500.0Working
70,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,9874,1928,0,1,0,Laborers,1.0,39,2.0,M-987481000.0Commercial associate
71,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,15904,3787,0,0,0,Laborers,4.0,54,2.0,M-15904202500.0Working
72,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,21574,1081,0,1,0,No job,2.0,4,2.0,F-21574351000.0Commercial associate
73,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23269,0,0,1,0,No job,2.0,34,2.0,F-23269180000.0Pensioner
74,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,10350,219,1,1,0,Sales staff,3.0,25,2.0,F-1035067500.0Working
75,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15653,5500,0,0,1,Core staff,2.0,34,2.0,F-15653315000.0Commercial associate
76,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,13557,586,1,1,0,No job,2.0,15,2.0,F-13557315000.0Commercial associate
77,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,9818,520,0,0,0,Core staff,1.0,7,1.0,F-9818135000.0Working
78,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,12690,231,1,0,0,Sales staff,2.0,23,1.0,F-12690112500.0Working
79,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,14816,1672,0,0,0,Core staff,2.0,2,0.0,F-14816225000.0Working
80,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,17862,212,0,0,0,Laborers,2.0,2,1.0,F-17862247500.0Commercial associate
81,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,10314,962,0,0,1,Sales staff,2.0,0,0.0,M-10314135000.0Working
82,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,15274,1423,0,0,1,Accountants,2.0,53,2.0,F-15274216000.0Working
83,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,11905,1700,0,0,0,High skill tech staff,4.0,38,1.0,F-11905180000.0Working
84,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23563,0,0,1,0,No job,2.0,27,2.0,M-23563135000.0Pensioner
85,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,18013,1215,0,0,0,Laborers,2.0,41,1.0,M-18013184500.0Working
86,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,12571,451,1,0,1,Drivers,3.0,45,2.0,M-12571112500.0Working
87,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,13270,235,1,1,1,Core staff,1.0,56,2.0,F-13270270000.0Commercial associate
88,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,20412,5427,0,0,0,Managers,2.0,45,2.0,F-20412360000.0Commercial associate
89,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,14465,4145,1,1,0,Managers,2.0,59,2.0,M-14465450000.0Commercial associate
90,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,20200,9404,1,0,0,Cleaning staff,2.0,30,2.0,F-2020045000.0State servant
91,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,18744,2988,0,0,0,Private service staff,2.0,20,2.0,F-18744202500.0Working
92,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12190,691,0,0,0,Laborers,3.0,5,2.0,M-12190135000.0Commercial associate
93,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19053,3629,0,0,0,High skill tech staff,1.0,22,1.0,F-19053202500.0Commercial associate
94,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23770,0,0,0,0,No job,2.0,26,2.0,F-23770180000.0Pensioner
95,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,16081,0,0,1,0,No job,2.0,14,2.0,M-1608179650.0Pensioner
