,gender,car,reality,income_total,income_type,edu_type,family_type,house_type,work_phone,home_phone,email,occup_type,family_size,begin_month,credit,days_unemployed,income_unemployed,Age,birth_month,birth_week,ages_employed,employ_month,employ_week,ages_unemployed,unemploy_month,unemploy_week,income_family
0,F,N,N,202500.0,Commercial associate,Higher education,Married,Municipal apartment,0,0,0,No job,2.0,6,1.0,9190,22.034820457018498,38,7.0,1.0,12,0.0,0.0,25,6.0,0.0,101250.0
1,F,N,Y,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2.0,37,0.0,12996,15.581717451523545,41,10.0,3.0,5,9.0,2.0,35,1.0,0.0,101250.0
2,F,Y,Y,157500.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,2.0,26,2.0,12932,12.179090627899784,41,9.0,0.0,5,10.0,0.0,35,11.0,3.0,78750.0
3,F,N,Y,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,High skill tech staff,4.0,18,1.0,8417,32.077937507425446,36,3.0,0.0,13,10.0,1.0,23,4.0,2.0,67500.0
4,F,N,N,315000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,1,Core staff,1.0,41,2.0,15592,20.202668034889687,48,9.0,2.0,5,5.0,2.0,42,3.0,3.0,315000.0
5,M,N,Y,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Drivers,2.0,53,0.0,9476,28.49303503588012,40,4.0,0.0,14,0.0,2.0,25,3.0,1.0,135000.0
6,M,Y,Y,180000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,No job,3.0,38,2.0,13665,13.172338090010976,41,0.0,1.0,4,0.0,1.0,37,11.0,0.0,60000.0
7,F,N,Y,103500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,5,2.0,14477,7.149271257857291,43,10.0,3.0,3,7.0,2.0,39,2.0,0.0,51750.0
8,F,N,Y,193500.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,Laborers,1.0,40,2.0,16850,11.483679525222552,52,11.0,3.0,6,1.0,0.0,46,9.0,3.0,193500.0
9,M,Y,Y,135000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,51,2.0,11668,11.570106273568735,32,7.0,3.0,0,3.0,1.0,31,4.0,2.0,45000.0
10,F,Y,Y,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,3.0,60,0.0,9776,16.11088379705401,32,1.0,1.0,5,0.0,0.0,26,1.0,0.0,52500.0
11,F,N,N,135000.0,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2.0,41,2.0,7413,18.21125050586807,27,5.0,0.0,6,10.0,1.0,20,7.0,3.0,67500.0
12,F,N,Y,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,No job,1.0,41,2.0,22922,6.871128173806823,62,8.0,2.0,0,0.0,0.0,62,8.0,2.0,157500.0
13,M,Y,Y,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,Drivers,4.0,60,0.0,8803,17.891627854140634,35,8.0,1.0,11,3.0,3.0,24,5.0,1.0,39375.0
14,M,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,2,1.0,14855,12.117132278694042,53,10.0,0.0,12,7.0,2.0,40,3.0,2.0,90000.0
15,M,N,N,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0,0,1,Sales staff,2.0,14,2.0,7869,34.31185665268776,24,7.0,0.0,2,8.0,0.0,21,10.0,0.0,135000.0
16,F,N,Y,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,37,2.0,23113,9.345390040237096,63,2.0,1.0,0,0.0,0.0,63,2.0,1.0,108000.0
17,F,N,Y,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,No job,2.0,7,2.0,7696,23.388773388773387,37,1.0,1.0,16,9.0,1.0,21,4.0,3.0,90000.0
