,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,days_birth,days_employed,work_phone,home_phone,email,occup_type,family_size,begin_month,credit
0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,-13899,-4709,0,0,0,No job,2.0,-6.0,1.0
1,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15088,-2092,0,1,0,Sales staff,2.0,-37.0,0.0
2,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-15037,-2105,0,0,0,Managers,2.0,-26.0,2.0
3,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13413,-4996,0,0,1,High skill tech staff,4.0,-18.0,1.0
4,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-17570,-1978,0,0,1,Core staff,1.0,-41.0,2.0
5,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14896,-5420,0,0,1,Drivers,2.0,-53.0,0.0
6,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,0,0,1,No job,3.0,-38.0,2.0
7,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15785,-1308,0,0,0,Medicine staff,2.0,-5.0,2.0
8,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,Laborers,1.0,-40.0,2.0
9,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-11759,-91,0,0,0,Managers,3.0,-51.0,2.0
10,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,0,0,0,Accountants,3.0,-60.0,0.0
11,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-9887,-2474,0,1,0,Sales staff,2.0,-41.0,2.0
12,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22922,0,0,1,0,No job,1.0,-41.0,2.0
13,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,0,1,0,Drivers,4.0,-60.0,0.0
14,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,0,1,0,Laborers,2.0,-2.0,1.0
15,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-8853,-984,0,0,1,Sales staff,2.0,-14.0,2.0
16,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23113,0,0,0,0,No job,2.0,-37.0,2.0
17,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,0,0,0,No job,2.0,-7.0,2.0
18,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-1753,0,1,0,No job,2.0,-35.0,2.0
19,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,0,0,0,Laborers,2.0,-22.0,0.0
20,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,-14542,-444,1,1,1,No job,2.0,-18.0,2.0
21,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,-17843,-3353,1,0,0,Laborers,3.0,-13.0,2.0
22,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-17309,-3500,0,0,0,No job,2.0,-57.0,2.0
23,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,-22111,-2325,1,1,0,Drivers,2.0,-47.0,2.0
24,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-12017,-1711,0,1,0,Sales staff,2.0,-22.0,0.0
25,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13188,-227,0,0,0,Managers,2.0,-33.0,2.0
26,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-11762,-3452,1,0,1,Laborers,2.0,-18.0,0.0
27,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2.0,-2.0,0.0
28,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19200,-346,0,1,0,High skill tech staff,2.0,-30.0,2.0
29,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,-14438,-2433,0,0,0,Managers,2.0,-20.0,2.0
30,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,-20200,-1022,1,1,0,Accountants,1.0,-14.0,2.0
31,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,-16653,-1646,0,0,0,Drivers,2.0,-8.0,2.0
32,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13582,-3472,0,0,0,Sales staff,2.0,-41.0,2.0
33,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13022,-1600,0,0,0,Laborers,4.0,-39.0,2.0
34,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,-21700,-2426,0,0,0,Laborers,2.0,-21.0,1.0
35,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,-12752,-433,0,1,0,Accountants,4.0,-19.0,2.0
36,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,0,0,Managers,3.0,-35.0,0.0
37,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9963,-1876,0,0,0,Sales staff,2.0,-8.0,1.0
38,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,-15125,-199,0,0,0,Drivers,2.0,-26.0,2.0
39,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,-18655,-3200,1,1,0,High skill tech staff,2.0,-4.0,0.0
40,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21100,0,0,1,0,No job,1.0,-24.0,2.0
41,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-18409,-3482,0,0,0,Sales staff,2.0,-48.0,2.0
42,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23585,0,0,0,0,No job,2.0,-4.0,2.0
43,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18858,-2010,0,1,0,No job,2.0,-12.0,2.0
44,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,-8917,-1101,0,0,1,Drivers,2.0,-10.0,2.0
45,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24044,0,0,1,0,No job,2.0,-37.0,2.0
46,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,-15626,-422,0,0,0,No job,3.0,-2.0,1.0
47,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13856,-3010,0,0,0,Laborers,2.0,-24.0,2.0
48,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-16137,-9391,0,1,0,Laborers,2.0,-29.0,2.0
49,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,0,0,0,Core staff,1.0,-3.0,1.0
50,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23334,0,0,0,0,No job,2.0,-23.0,2.0
51,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,-22985,0,0,1,0,No job,2.0,-25.0,2.0
52,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21397,0,0,0,0,No job,1.0,-1.0,1.0
53,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,-11373,-1371,0,0,0,Managers,3.0,-15.0,2.0
54,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17402,-3153,0,1,0,Core staff,2.0,-40.0,1.0
55,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,-15586,-3337,0,0,0,Managers,2.0,-21.0,2.0
56,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9047,-716,0,0,0,Security staff,1.0,-32.0,2.0
57,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,-12729,-4936,1,0,0,Cleaning staff,2.0,-10.0,2.0
58,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-13761,-2783,0,0,0,Laborers,3.0,-4.0,1.0
59,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,0,0,0,High skill tech staff,4.0,-2.0,1.0
60,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,0,0,0,Laborers,2.0,-14.0,1.0
61,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-15462,-2969,0,0,1,Medicine staff,2.0,-59.0,2.0
62,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,0,1,0,Laborers,1.0,-39.0,2.0
63,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15904,-3787,0,0,0,Laborers,4.0,-54.0,2.0
64,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,-21574,-1081,0,1,0,No job,2.0,-4.0,2.0
65,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23269,0,0,1,0,No job,2.0,-34.0,2.0
66,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-10350,-219,1,1,0,Sales staff,3.0,-25.0,2.0
67,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,0,0,1,Core staff,2.0,-34.0,2.0
68,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,0,No job,2.0,-15.0,2.0
69,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,0,0,0,Core staff,2.0,-2.0,0.0
70,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17862,-212,0,0,0,Laborers,2.0,-2.0,1.0
71,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10314,-962,0,0,1,Sales staff,2.0,0.0,0.0
72,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,-15274,-1423,0,0,1,Accountants,2.0,-53.0,2.0
73,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,-11905,-1700,0,0,0,High skill tech staff,4.0,-38.0,1.0
74,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23563,0,0,1,0,No job,2.0,-27.0,2.0
75,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13270,-235,1,1,1,Core staff,1.0,-56.0,2.0
76,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20412,-5427,0,0,0,Managers,2.0,-45.0,2.0
77,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14465,-4145,1,1,0,Managers,2.0,-59.0,2.0
78,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-20200,-9404,1,0,0,Cleaning staff,2.0,-30.0,2.0
79,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18744,-2988,0,0,0,Private service staff,2.0,-20.0,2.0
80,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,0,0,0,Laborers,3.0,-5.0,2.0
81,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19053,-3629,0,0,0,High skill tech staff,1.0,-22.0,1.0
82,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,0,0,0,0,No job,2.0,-26.0,2.0
83,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16081,0,0,1,0,No job,2.0,-14.0,2.0
84,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23674,-2087,0,0,0,Security staff,2.0,-56.0,2.0
85,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9373,-1212,0,0,0,Drivers,2.0,-46.0,2.0
86,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,0,0,1,Sales staff,1.0,-5.0,2.0
87,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,0,1,1,Medicine staff,1.0,-35.0,2.0
88,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-22112,-8491,0,0,0,Private service staff,2.0,-9.0,2.0
89,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,0,Managers,2.0,-2.0,1.0
90,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12269,-604,0,0,0,Managers,3.0,-12.0,2.0
91,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,0,Managers,2.0,-12.0,2.0
92,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15994,-2537,0,1,0,Sales staff,1.0,-7.0,0.0
93,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984,-2606,0,0,0,Laborers,2.0,-5.0,2.0
94,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16118,-1959,0,1,0,No job,3.0,-47.0,2.0
95,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,0,0,0,No job,3.0,-4.0,1.0
96,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,-10762,-683,0,1,0,Core staff,1.0,-22.0,2.0
97,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-22811,-2234,1,1,0,High skill tech staff,2.0,-13.0,2.0
98,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-12846,-164,0,0,0,Managers,2.0,-57.0,2.0
99,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,0,0,0,Drivers,3.0,-44.0,2.0
100,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17826,-201,0,1,0,Laborers,1.0,-4.0,2.0
101,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17384,-1138,0,0,0,Cooking staff,4.0,-36.0,1.0
102,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11564,-2944,0,0,1,Managers,4.0,-43.0,2.0
103,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20920,0,0,0,0,No job,2.0,-49.0,2.0
104,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,-14317,-2751,0,0,0,Managers,3.0,-11.0,2.0
105,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16173,-674,0,0,0,Sales staff,2.0,-27.0,2.0
106,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-18259,-5756,0,1,0,Sales staff,2.0,-47.0,2.0
107,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12393,-1854,1,1,0,Cooking staff,4.0,0.0,1.0
108,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,0,0,0,0,No job,1.0,-4.0,1.0
109,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,-16641,-9988,1,1,0,Sales staff,2.0,-35.0,2.0
110,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,-12902,-4120,0,0,0,Core staff,4.0,-39.0,2.0
111,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19431,-6226,0,0,0,High skill tech staff,2.0,-48.0,2.0
112,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15525,-3357,0,0,0,Accountants,4.0,-55.0,2.0
113,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-11709,-4983,0,0,0,Laborers,2.0,-45.0,2.0
114,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,-16537,-410,0,1,1,Laborers,3.0,-30.0,2.0
115,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13741,-5221,0,0,0,Laborers,3.0,-38.0,1.0
116,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17537,-1749,0,0,0,Laborers,3.0,-11.0,2.0
